SN.,size of cluster,cluster member,first match count,second match count
0,11,"['solving', 'working', 'making', 'work', 'achievement', 'constitution', 'determination', 'oriented', 'born', 'compromise', 'agreeable']","(4, (0, 'leadership', 17, 29))","(0, None)"
1,7,"['controlling', 'care', 'compassion', 'caring', 'management', 'president', 'situations']","(3, (1, 'diplomacy', 18, 22))","(2, (0, 'leadership', 17, 29))"
2,5,"['leadership', 'leader', 'politics', 'someone', 'relations']","(2, (3, 'political skills ', 9, 16))","(1, (0, 'leadership', 17, 29))"
3,4,"['able', 'knowledge', 'ability', 'skills']","(2, (0, 'leadership', 17, 29))","(0, None)"
4,4,"['empathy', 'empathize', 'understanding', 'sense']","(1, (1, 'diplomacy', 18, 22))","(0, None)"
5,3,"['groups', 'people', 'country']","(2, (2, 'relate to diverse groups', 8, 17))","(0, None)"
6,3,"['dedication', 'dedicated', 'commitment']","(3, (4, 'determination', 8, 13))","(0, None)"
7,2,"['motives', 'ideas']","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
8,2,"['qualities', 'logical']","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
9,2,"['unity', 'integrity']","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
10,2,"['honest', 'honesty']","(2, (6, 'honesty', 7, 10))","(0, None)"
11,2,"['serve', 'office']","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
12,2,"['ethic', 'systems']","(1, (3, 'political skills ', 9, 16))","(0, None)"
13,2,"['trustworthy', 'trustworthiness']","(2, (6, 'honesty', 7, 10))","(0, None)"
14,2,"['prejudice', 'prejudices']","(2, (2, 'relate to diverse groups', 8, 17))","(0, None)"
15,1,['exceptionally'],"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
16,1,['knowledgeable'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
17,1,['negotiator'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
18,1,['progressive'],"(0, None)","(0, None)"
19,1,['lot'],"(0, None)","(0, None)"
20,1,['others'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
21,1,['level-headed'],"(1, (0, 'leadership', 17, 29))","(0, None)"
22,1,['international'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
23,1,['approachable'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
24,1,['experience'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
25,1,['appeals'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
26,1,['smart'],"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
27,1,['together'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
28,1,['confident'],"(1, (8, 'confident', 3, 3))","(0, None)"
29,1,['crucial'],"(1, (0, 'leadership', 17, 29))","(0, None)"
30,1,['sociology'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
31,1,['promises'],"(1, (6, 'honesty', 7, 10))","(0, None)"
32,1,['county'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
33,1,['idiot'],"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
34,1,['character'],"(0, None)","(0, None)"
