SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,5,"['ethic', 'ideas', 'intelligence', 'knowledge', 'skills']","[((Synset('passion.n.01'), 'a strong feeling or emotion'), (Synset('fearlessness.n.01'), 'feeling no fear'))]","(3, (5, 'intelligence/knowledge', 9, 12))","(1, (0, 'leadership', 17, 29))"
1,3,"['situations', 'unity', 'integrity']","[((Synset('empathy.n.01'), ""understanding and entering into another's feelings""), (Synset('empathy.n.01'), ""understanding and entering into another's feelings""))]","(1, (0, 'leadership', 17, 29))","(0, None)"
2,3,"['empathy', 'empathize', 'humility']","[((Synset('empathy.n.01'), ""understanding and entering into another's feelings""), (Synset('humility.n.02'), 'a humble feeling'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
3,2,"['leadership', 'someone']","[((Synset('situation.n.01'), 'the general state of things; the combination of circumstances at a given time'), (Synset('integrity.n.01'), 'an undivided or unbroken completeness or totality with nothing wanting'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
4,2,"['passion', 'bravery']","[((Synset('ethic.n.01'), 'the principles of right and wrong that are accepted by an individual or a social group'), (Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'))]","(1, (4, 'determination', 8, 13))","(0, None)"
5,2,"['country', 'county']","[((Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'), (Synset('cognition.n.01'), 'the psychological result of perception and learning and reasoning'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
6,1,['preferably'],NA,"(0, None)","(0, None)"
7,1,['selfless'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
8,1,['vast'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
9,1,['caring'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
10,1,['genuine'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
11,1,['exceptionally'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
12,1,['dedicated'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
13,1,['systems'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
14,1,['goals'],NA,"(0, None)","(0, None)"
15,1,['negotiator'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
16,1,['progressive'],NA,"(0, None)","(0, None)"
17,1,['able'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
18,1,['calm'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
19,1,['honesty'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
20,1,['agreeable'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
21,1,['lot'],NA,"(0, None)","(0, None)"
22,1,['compromise'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
23,1,['others'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
24,1,['level-headed'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
25,1,['work'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
26,1,['international'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
27,1,['approachable'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
28,1,['experience'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
29,1,['people'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
30,1,['appeals'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
31,1,['smart'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
32,1,['together'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
33,1,['ability'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
34,1,['eloquent'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
35,1,['born'],NA,"(0, None)","(0, None)"
