SN.,size of cluster,cluster member,merge reason,first match count,second match count
0,14,"['decisions', 'ethic', 'ideas', 'intelligence', 'knowledge', 'skills', 'term', 'passion', 'bravery', 'situations', 'unity', 'integrity', 'qualities', 'humility']","[((Synset('class.n.02'), 'a body of students who are taught together'), (Synset('set.n.05'), 'an unofficial association of people or groups'))]","(4, (0, 'leadership', 17, 29))","(0, None)"
1,12,"['course', 'country', 'county', 'lot', 'leadership', 'someone', 'politics', 'honesty', 'goals', 'systems', 'relations', 'motives']","[((Synset('course.n.01'), 'education imparted in a series of lessons or meetings'), (Synset('leadership.n.01'), 'the activity of leading'))]","(3, (3, 'political skills ', 9, 16))","(1, (0, 'leadership', 17, 29))"
2,10,"['join', 'leader', 'care', 'character', 'equality', 'capable', 'commitment', 'teamwork', 'selfless', 'president']","[((Synset('county.n.01'), '(United Kingdom) a region created by territorial division for the purpose of local government'), (Synset('finish.n.04'), 'the place designated as the end (as of a race or journey)'))]","(2, (0, 'leadership', 17, 29))","(0, None)"
3,7,"['run', 'achievement', 'promises', 'determination', 'humble', 'willingness', 'progressive']","[((Synset('goal.n.03'), 'game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points'), (Synset('system.n.01'), 'instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
4,4,"['groups', 'people', 'management', 'kindness']","[((Synset('person.n.01'), 'a human being'), (Synset('relative.n.01'), 'a person related by blood or marriage'))]","(2, (2, 'relate to diverse groups', 8, 17))","(1, (1, 'diplomacy', 18, 22))"
5,3,"['work', 'negotiator', 'idiot']","[((Synset('goal.n.01'), 'the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it'), (Synset('theme.n.02'), 'a unifying idea that is a recurrent element in literary or artistic work'))]","(2, (1, 'diplomacy', 18, 22))","(0, None)"
6,2,"['trustworthy', 'trustworthiness']","[((Synset('passion.n.01'), 'a strong feeling or emotion'), (Synset('humility.n.02'), 'a humble feeling'))]","(2, (6, 'honesty', 7, 10))","(0, None)"
7,2,"['dedication', 'logical']","[((Synset('trustworthy.a.01'), 'worthy of trust or belief'), (Synset('trustworthy.a.01'), 'worthy of trust or belief'))]","(1, (4, 'determination', 8, 13))","(0, None)"
8,2,"['prejudice', 'prejudices']","[((Synset('joiner.n.01'), 'a person who likes to join groups'), (Synset('leader.n.01'), 'a person who rules or guides or inspires others'))]","(2, (2, 'relate to diverse groups', 8, 17))","(0, None)"
9,2,"['understanding', 'sense']","[((Synset('leadership.n.01'), 'the activity of leading'), (Synset('care.n.01'), 'the work of providing treatment for or attending to someone or something'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
