SN.,size of cluster,cluster member,cluster ID,first match count,second match count
0,18,"('able', 'problem', 'hard', 'honest', 'humility', 'morality', 'decisiveness', 'peaceful', 'sure', 'capable', 'equality', 'kindness', 'crucial', 'together', 'genuine', 'vast', 'ability', 'confident')",11,"(6, (0, 'leadership', 17, 29))","(0, None)"
1,17,"('nice', 'friendly', 'u', 'wise', 'common', 'good', 'whole', 'diplomacy', 'polite', 'political', 'sociology', 'international', 'progressive', 'county', 'selfless', 'idiot', 'basic')",7,"(5, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
2,14,"('course', 'motives', 'situations', 'leadership', 'groups', 'someone', 'intelligence', 'relations', 'politics', 'country', 'people', 'systems', 'caring', 'goals')",0,"(3, (3, 'political skills ', 9, 16))","(2, (0, 'leadership', 17, 29))"
3,14,"('ulterior', 'strong', 'inclusivity', 'umm', 'underprivileged', 'stressful', 'levelheadedness', ""i'm"", 'level-headed', 'others', 'exceptionally', 'preferably', 'proud', 'politically')",8,"(4, (0, 'leadership', 17, 29))","(0, None)"
4,11,"('different', 'sophisticated', 'well', 'qualified', 'smart', 'approachable', 'dedicated', 'eloquent', 'long', 'sense', 'humble')",4,"(2, (0, 'leadership', 17, 29))","(0, None)"
5,10,"('join', 'commitment', 'time', 'experience', 'lot', 'think', 'character', 'constitution', 'term', 'leader')",3,"(2, (0, 'leadership', 17, 29))","(0, None)"
6,9,"('prejudices', 'fulfilled', 'management', 'appeals', 'work', 'compromise', 'negotiator', 'achievement', 'care')",2,"(4, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
7,9,"('prejudice', 'president', 'deliberate', 'office', 'agreeable', 'honesty', 'calm', 'mature', 'compassion')",12,"(3, (0, 'leadership', 17, 29))","(0, None)"
8,8,"('decisions', 'passion', 'ethic', 'ideas', 'skills', 'qualities', 'teamwork', 'knowledge')",6,"(2, (0, 'leadership', 17, 29))","(0, None)"
9,6,"('empathy', 'bravery', 'unity', 'integrity', 'empathize', 'oriented')",1,"(2, (2, 'relate to diverse groups', 8, 17))","(1, (0, 'leadership', 17, 29))"
10,6,"('dedication', 'serve', 'run', 'understanding', 'determination', 'promises')",9,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
11,5,"('controlling', 'solving', 'born', 'making', 'working')",5,"(3, (0, 'leadership', 17, 29))","(0, None)"
12,5,"('trustworthy', 'trustworthiness', 'logical', 'willingness', 'knowledgeable')",10,"(2, (6, 'honesty', 7, 10))","(1, (1, 'diplomacy', 18, 22))"
