SN.,size of cluster,cluster member,cluster ID,first match count,second match count
0,35,"('able', 'nice', 'prejudice', 'problem', 'friendly', 'u', 'wise', 'honest', 'common', 'humility', 'morality', 'good', 'whole', 'diplomacy', 'polite', 'decisiveness', 'peaceful', 'sure', 'capable', 'political', 'equality', 'kindness', 'sociology', 'crucial', 'together', 'international', 'progressive', 'genuine', 'selfless', 'vast', 'ability', 'logical', 'willingness', 'basic', 'confident')",8,"(9, (1, 'diplomacy', 18, 22))","(7, (0, 'leadership', 17, 29))"
1,16,"('course', 'different', 'president', 'sophisticated', 'well', 'smart', 'approachable', 'lot', 'agreeable', 'calm', 'eloquent', 'long', 'sense', 'humble', 'compassion', 'term')",2,"(4, (0, 'leadership', 17, 29))","(0, None)"
2,13,"('ulterior', 'inclusivity', 'umm', 'underprivileged', 'stressful', 'levelheadedness', ""i'm"", 'level-headed', 'others', 'exceptionally', 'preferably', 'proud', 'politically')",4,"(3, (0, 'leadership', 17, 29))","(0, None)"
3,13,"('decisions', 'passion', 'situations', 'bravery', 'deliberate', 'intelligence', 'politics', 'country', 'office', 'honesty', 'county', 'teamwork', 'mature')",11,"(4, (0, 'leadership', 17, 29))","(0, None)"
4,10,"('join', 'commitment', 'groups', 'time', 'qualities', 'people', 'experience', 'constitution', 'character', 'leader')",1,"(3, (2, 'relate to diverse groups', 8, 17))","(1, (0, 'leadership', 17, 29))"
5,7,"('dedication', 'prejudices', 'empathy', 'appeals', 'compromise', 'achievement', 'promises')",0,"(2, (1, 'diplomacy', 18, 22))","(1, (0, 'leadership', 17, 29))"
6,7,"('motives', 'ethic', 'ideas', 'skills', 'systems', 'goals', 'knowledge')",5,"(2, (5, 'intelligence/knowledge', 9, 12))","(1, (0, 'leadership', 17, 29))"
7,5,"('leadership', 'someone', 'relations', 'negotiator', 'idiot')",12,"(1, (0, 'leadership', 17, 29))","(0, None)"
8,4,"('run', 'understanding', 'work', 'determination')",3,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
9,2,"('management', 'care')",6,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
10,2,"('unity', 'integrity')",7,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
11,2,"('strong', 'hard')",9,"(1, (0, 'leadership', 17, 29))","(0, None)"
12,2,"('trustworthy', 'trustworthiness')",10,"(2, (6, 'honesty', 7, 10))","(0, None)"
