Sl No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Balls Bowled,Runs Concede,Economy,Wickets,Ct_St,Matches Played,Age
1,A Chandila,RR,IND,0,1,0,0,0,84,86,6.142857143,5,3,4,28
2,Aakash Chopra,RR,IND,0,0,-,0,0,0,0,-,0,0,0,34
3,Aaron Finch,DD,AUS,55,51,107.8431373,8,0,0,0,-,0,0,2,25
4,Aavishkar Salvi,DD,IND,0,0,-,0,0,0,0,-,0,0,0,30
5,AB de Villiers,RCB,SA,317,198,160.1010101,26,15,0,0,-,0,9,15,28
6,Abhimanyu Mithun,RCB,IND,0,0,-,0,0,18,33,11,0,0,1,22
7,Abhinav Mukund,CSK,IND,0,0,-,0,0,0,0,-,0,0,0,22
8,Abhishek Jhunjhunwala,DC,IND,24,26,92.30769231,1,1,36,38,6.333333333,1,2,5,29
9,Abhishek Nayar,KXI,IND,45,49,91.83673469,2,1,6,16,16,0,0,4,28
10,Abhishek Raut,RR,IND,0,0,-,0,0,0,0,-,0,0,0,25
11,Abrar Kazi,RCB,IND,0,0,-,0,0,0,0,-,0,0,0,22
12,Abu Nechim,MI,IND,0,0,-,0,0,12,17,8.5,0,0,1,23
13,Adam Gilchrist,KXI,AUS,172,143,120.2797203,21,4,0,0,-,0,5,7,40
14,Aditya Dole,RR,IND,0,0,-,0,0,0,0,-,0,0,0,24
15,Aditya Tare,MI,IND,0,0,-,0,0,0,0,-,0,0,0,24
16,Aiden Blizzard,MI,AUS,0,3,0,0,0,0,0,-,0,0,1,27
17,Ajinkya Rahane,RR,IND,560,433,129.330254,73,10,0,0,-,0,11,16,24
18,Ajit Agarkar,DD,IND,0,0,-,0,0,86,134,9.348837209,3,2,4,34
19,Akash Bhandari,DC,IND,0,0,-,0,0,0,0,-,0,0,0,18
20,Akshath Reddy,DC,IND,73,59,123.7288136,6,2,0,0,-,0,0,4,21
21,Albie Morkel,CSK,IND,107,67,159.7014925,5,6,255,319,7.505882353,11,2,13,30
22,Alfonso Thomas,PWI,SA,19,15,126.6666667,1,1,84,109,7.785714286,3,1,4,35
23,Ali Murtaza,PWI,IND,3,5,60,0,0,12,11,5.5,0,0,1,22
24,Ambati Rayudu,MI,IND,333,252,132.1428571,21,14,0,0,-,0,2,17,26
25,Amit Mishra,DC,IND,16,20,80,1,0,282,377,8.021276596,13,1,14,29
26,Amit Paunikar,RR,IND,0,0,-,0,0,0,0,-,0,0,0,24
27,Amit Singh,RR,IND,0,3,0,0,0,197,310,9.441624365,10,1,9,30
28,Amit Yadav,KXI,IND,0,0,-,0,0,0,0,-,0,0,0,22
29,Amitoze Singh,MI,IND,0,0,-,0,0,0,0,-,0,0,0,23
30,Anand Rajan,DC,IND,0,0,-,0,0,71,109,9.211267606,3,0,4,24
31,Andre Russell,DD,WI,31,15,206.6666667,1,3,72,131,10.91666667,1,0,3,24
32,Andrew McDonald,RCB,AUS,47,35,134.2857143,6,2,60,61,6.1,5,0,3,30
33,Angelo Mathews,PWI,SL,127,108,117.5925926,5,4,156,192,7.384615385,7,3,9,25
34,Ankeet Chavan,RR,IND,11,8,137.5,2,0,164,236,8.634146341,7,2,8,26
35,Ankit Sharma,DC,IND,18,13,138.4615385,0,2,145,165,6.827586207,4,0,9,20
36,Anustup Majumdar,PWI,IND,87,76,114.4736842,7,2,0,0,-,0,0,4,28
37,Apoorv Wankhade,MI,IND,0,0,-,0,0,0,0,-,0,0,0,20
38,Arjun Yadav,DC,IND,0,0,-,0,0,0,0,-,0,0,0,30
39,Arun Karthik,RCB,IND,0,0,-,0,0,0,0,-,0,0,1,26
40,Asad Pathan,RCB,IND,6,7,85.71428571,0,0,6,14,14,0,0,2,28
41,Ashish Nehra,PWI,IND,11,12,91.66666667,1,0,288,402,8.375,11,1,13,33
42,Ashish Reddy,DC,IND,35,29,120.6896552,3,1,163,237,8.72392638,11,0,10,21
43,Ashok Dinda,PWI,IND,2,5,40,0,0,144,169,7.041666667,9,1,7,28
